Timestamp,accx,accy,accz
2022-12-15 11:05:58.065,9.96,-0.51,0.69
2022-12-15 11:05:59.080,10.02,-0.53,0.82
2022-12-15 11:06:00.080,9.96,-0.51,0.75
2022-12-15 11:06:01.080,9.97,-0.50,0.71
2022-12-15 11:06:02.080,9.94,-0.48,0.97
2022-12-15 11:06:03.095,9.97,-0.52,0.94
2022-12-15 11:06:04.095,9.96,-0.52,0.91
2022-12-15 11:06:05.095,9.99,-0.52,0.94
2022-12-15 11:06:06.095,9.98,-0.50,1.03
2022-12-15 11:06:07.111,9.99,-0.52,0.84
2022-12-15 11:06:08.111,9.96,-0.46,0.51
2022-12-15 11:06:09.110,10.05,-0.51,0.54
2022-12-15 11:06:10.127,9.99,-0.47,0.26
2022-12-15 11:06:11.126,10.02,-0.51,0.53
2022-12-15 11:06:12.126,10.03,-0.47,0.33
2022-12-15 11:06:13.126,9.97,-0.55,0.48
2022-12-15 11:06:14.142,10.06,-0.49,0.15
2022-12-15 11:06:15.142,9.97,-0.53,0.17
2022-12-15 11:06:16.142,10.02,-0.55,0.36
2022-12-15 11:06:17.141,9.98,-0.46,0.23
2022-12-15 11:06:18.157,9.99,-0.52,0.35
2022-12-15 11:06:19.157,10.07,-0.49,0.33
2022-12-15 11:06:20.157,9.98,-0.52,0.71
2022-12-15 11:06:21.172,9.99,-0.53,0.54
2022-12-15 11:06:22.172,10.01,-0.47,0.73
2022-12-15 11:06:23.172,9.97,-0.52,0.95
2022-12-15 11:06:24.172,9.99,-0.51,0.95
2022-12-15 11:06:25.187,9.95,-0.54,1.12
2022-12-15 11:06:26.187,9.96,-0.48,1.00
2022-12-15 11:06:27.187,9.96,-0.48,1.02
2022-12-15 11:06:28.203,10.00,-0.53,1.22
2022-12-15 11:06:29.203,10.01,-0.52,1.13
2022-12-15 11:06:30.202,9.95,-0.53,1.13
2022-12-15 11:06:31.202,10.03,-0.54,1.21
2022-12-15 11:06:32.219,9.96,-0.45,0.96
2022-12-15 11:06:33.219,9.95,-0.52,0.83
2022-12-15 11:06:34.219,9.96,-0.52,0.69
2022-12-15 11:06:35.219,9.98,-0.46,0.83
2022-12-15 11:06:36.234,9.96,-0.49,0.71
2022-12-15 11:06:37.234,10.03,-0.49,0.59
2022-12-15 11:06:38.234,9.97,-0.52,0.63
2022-12-15 11:06:39.234,10.01,-0.54,0.56
2022-12-15 11:06:40.250,10.02,-0.48,0.28
2022-12-15 11:06:41.249,10.05,-0.47,0.27
2022-12-15 11:06:42.249,10.00,-0.50,0.19
2022-12-15 11:06:43.265,10.00,-0.48,0.10
2022-12-15 11:06:44.265,9.98,-0.55,0.31
2022-12-15 11:06:45.265,10.02,-0.47,0.22
2022-12-15 11:06:46.265,10.01,-0.51,0.25
2022-12-15 11:06:47.280,10.07,-0.50,0.27
